Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Lê Anh Vinh,Học Toán Cùng Jenny - Sách Dành Cho Học Sinh Chuẩn Bị Vào Lớp 1 - Bộ Cơ Bản - Tập 2,"Nhằm mục đích truyền cảm hứng vẻ đẹp ấy tới các bạn nhỏ ở độ tuổi tiền tiểu học, nhóm tác giả Câu lạc bộ Học Toán cùng Jenny (do GS. TS. Toán học Lê Anh Vinh làm chủ biên) đã cho ra đời bộ sách mang tên gọi Học Toán cùng Jenny gồm hai cấp độ Cơ bản và Mở rộng, dành riêng cho các học sinh chuẩn bị vào lớp 1. Phần kiến thức trong bộ sách bao phủ chương trình giáo dục mầm non của Bộ Giáo dục và Đào tạo, các bài tập trở nên thú vị hơn nhờ vào nội dung đáng yêu, dễ nhớ cùng cách trình bày khoa học, hình vẽ minh hoạ xinh xắn. Nhóm tác giả hi vọng bộ sách sẽ giúp các bạn nhỏ nuôi dưỡng tình yêu với Toán học, trở thành người bạn thân thiết của các em trên con đường khám phá vẻ đẹp của môn Toán.",NXB Kim Đồng,30000,32,25500,01/12/2022,NXB Kim Đồng,Còn hàng,80
Kim Hài,Tôtô - Chú Chó Với Ước Mơ Bay,,NXB Kim Đồng,146000,256,124000,01/12/2022,NXB Kim Đồng,Còn hàng,400
Anne Rooney,Lược Sử Sự Sống Bằng Hình - Tiến Hóa Diệu Kì,"Thông qua những hình minh họa độc đáo và rực rỡ cùng nội dung kiến thức ngắn gọn, súc tích,",NXB Kim Đồng,155000,128,131500,01/12/2022,NXB Kim Đồng,Còn hàng,200
Anne Rooney,Lược Sử Vũ Trụ Bằng Hình - Hành Trình Vượt Không Gian Và Thời Gian,"kể lại cho bạn đọc câu chuyện về vũ trụ của chúng ta, từ nguồn gốc của vật chất và năng lượng cho đến những điều kì diệu khác. Thông qua những bức tranh minh họa kì vĩ về không gian vũ trụ và nội dung kiến thức khoa học mới mẻ, chúng ta sẽ được khám phá nguyên lí khoa học phía sau mọi thứ, từ hạt quark nhỏ bé đến các siêu tân tinh đồ sộ, và nhìn sâu hơn vào những bí ẩn vẫn chưa được giải đáp.",NXB Kim Đồng,155000,128,131500,01/12/2022,NXB Kim Đồng,Còn hàng,200
Từ Hảo,Bí Quyết Hội Họa - Ký Họa Chân Dung,Bạn đam mê hội họa và muốn bắt đầu học vẽ?,Cty Văn Hóa Văn Lang,70000,47,59500,13/12/2022,Nxb Thanh Hóa,Còn hàng,150
Miles Kelly,Truyện Kể Mỗi Ngày - Sự Tích Các Loài Vật,Tại sao Lạc Đà lại có bướu? Tại sao Báo Hoa Mai lại có đốm? Tại sao làn da của Tê Giác lại nhăn nheo? Tại sao cổ họng của Cá Voi lại có tấm lọc?,Đinh Tị,99000,96,84000,01/12/2022,NXB Thanh Niên,Còn hàng,200
Miles Kelly,Truyện Kể Mỗi Ngày - Những Câu Chuyện Ngụ Ngôn Aesop,"Các câu chuyện ngụ ngôn Aesop sẽ trở nên sống động và trực quan hơn bao giờ hết bởi các hình ảnh bắt mắt và tràn ngập sắc màu tươi sáng trong cuốn sách này. Đặc biệt, bằng lời văn đặc sắc, sinh động nhưng rất dễ hiểu, đây sẽ là cuốn sách cực kỳ thích hợp để cha mẹ đọc cho em nghe, giúp em chuẩn bị bước vào giấc ngủ sâu với những giấc mơ tuyệt đẹp.",Đinh Tị,99000,96,84000,01/12/2022,NXB Thanh Niên,Còn hàng,200
Neil Gaiman,Điềm Lành - Những Lời Tiên Tri Tuyệt Đích Và Chuẩn Xác Của Phù Thủy Agnes Nutter,Bạn đang cầm trên tay một cuốn sách về Tận Thể.,Nhã Nam,220000,448,187000,30/12/2022,NXB Phụ Nữ,Còn hàng,650
Monologue,Bên Rìa Cơn Mơ,Có phải mỉm cười bao giờ cũng là vui và rơi nước mắt là sẽ buồn?,AZ Việt Nam,88000,264,74500,20/12/2022,NXB Phụ Nữ Việt Nam,Còn hàng,500
Phương Hoài Nga,Làm Cha Mẹ Hoàn Hảo,"Phải chăng khi đã sẵn sàng đón nhận con và hiểu nhiều về con cái thì sẽ không còn những bối rối, khó khăn?",Nhã Nam,139000,256,118000,30/12/2022,NXB Phụ Nữ,Còn hàng,550
